epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2561,1.14315,4.46726,0.01588,0.02927,0.55455,0.11276,0.06504,0.95811,4.7401,0.0152,0.00011,0.00011,0.00011
2,14.0311,1.05091,4.28729,0.01455,0.0177,0.5798,0.2384,0.15352,0.97496,4.7429,0.01614,0.000228861,0.000228861,0.000228861
3,18.259,1.00549,4.28898,0.01488,0.01323,0.59333,0.21895,0.13282,0.9007,4.64875,0.01567,0.000346535,0.000346535,0.000346535
4,21.7015,0.95395,3.92427,0.01281,0.01088,0.60828,0.20106,0.14576,0.81489,4.35952,0.01388,0.00046302,0.00046302,0.00046302
5,25.7712,0.91369,3.6664,0.01274,0.00979,0.66162,0.20661,0.15207,0.8625,3.89337,0.01592,0.000578318,0.000578318,0.000578318
6,30.0242,0.96514,3.55231,0.01396,0.75846,0.17717,0.23369,0.16654,0.87815,3.54596,0.01574,0.000692427,0.000692427,0.000692427
7,33.3411,0.93791,3.37997,0.01321,0.82933,0.14768,0.28684,0.19187,0.98283,3.2171,0.01861,0.000805349,0.000805349,0.000805349
8,36.6678,0.97776,3.27068,0.01343,0.82815,0.11394,0.33476,0.21907,0.91827,3.1106,0.01712,0.000917082,0.000917082,0.000917082
9,40.315,0.99076,3.18086,0.01393,0.64628,0.2297,0.3864,0.24981,0.95151,3.04443,0.01802,0.0009604,0.0009604,0.0009604
10,44.2069,1.02978,3.06233,0.01424,0.722,0.2035,0.38698,0.25097,1.01513,2.901,0.01863,0.00095545,0.00095545,0.00095545
11,47.964,0.99483,2.90334,0.01478,0.40098,0.53024,0.50777,0.31106,1.10468,2.69144,0.0203,0.0009505,0.0009505,0.0009505
12,51.8739,1.00372,2.70393,0.0136,0.31235,0.61859,0.53812,0.34981,1.20368,2.63491,0.02309,0.00094555,0.00094555,0.00094555
13,57.025,0.98719,2.6468,0.01341,0.39869,0.68502,0.55641,0.37092,1.18512,2.2537,0.02196,0.0009406,0.0009406,0.0009406
14,61.6421,0.98105,2.68118,0.01449,0.5018,0.641,0.5746,0.36554,1.18558,2.21936,0.02377,0.00093565,0.00093565,0.00093565
15,65.0185,1.06413,2.63373,0.01608,0.58913,0.5756,0.63037,0.4252,1.07089,1.98864,0.02043,0.0009307,0.0009307,0.0009307
16,68.2972,0.99623,2.50916,0.01457,0.61955,0.55705,0.6788,0.44672,1.05904,1.97534,0.01943,0.00092575,0.00092575,0.00092575
17,71.9429,1.0092,2.31518,0.01396,0.62129,0.52946,0.70563,0.46919,1.0923,1.84892,0.01977,0.0009208,0.0009208,0.0009208
18,75.7932,1.02403,2.32637,0.01447,0.55695,0.69203,0.69757,0.45829,1.16506,1.7679,0.02243,0.00091585,0.00091585,0.00091585
19,79.4366,0.96686,2.32368,0.01346,0.61055,0.60681,0.66061,0.46375,1.08149,1.72362,0.0201,0.0009109,0.0009109,0.0009109
20,82.6055,0.98005,2.21622,0.01377,0.57713,0.6433,0.63825,0.44716,1.08087,1.69267,0.02022,0.00090595,0.00090595,0.00090595
21,85.6442,0.98484,2.24902,0.01368,0.73482,0.51023,0.70324,0.49909,1.08056,1.5807,0.02051,0.000901,0.000901,0.000901
22,88.7692,0.96166,2.08056,0.01319,0.79351,0.54861,0.72578,0.51574,1.07939,1.50741,0.0196,0.00089605,0.00089605,0.00089605
23,91.9938,0.96843,2.20738,0.01361,0.77613,0.52461,0.73652,0.52556,1.13175,1.48417,0.02101,0.0008911,0.0008911,0.0008911
24,95.3929,0.97055,2.11321,0.01412,0.75956,0.5469,0.73212,0.51595,1.12175,1.49087,0.02037,0.00088615,0.00088615,0.00088615
25,99.1525,0.96569,2.03228,0.01303,0.78113,0.52638,0.73445,0.51398,1.072,1.46118,0.01871,0.0008812,0.0008812,0.0008812
26,102.427,0.93794,1.97822,0.01305,0.75282,0.55872,0.75243,0.5366,1.13499,1.25789,0.02012,0.00087625,0.00087625,0.00087625
27,105.943,0.96948,1.98246,0.01373,0.68613,0.70374,0.79158,0.58547,1.06993,1.13265,0.0191,0.0008713,0.0008713,0.0008713
28,109.703,0.96589,1.82559,0.01301,0.64113,0.7352,0.78191,0.57519,1.04576,1.14537,0.01818,0.00086635,0.00086635,0.00086635
29,113.048,0.99528,1.85861,0.01406,0.63381,0.77896,0.78839,0.54892,1.16297,1.17084,0.02028,0.0008614,0.0008614,0.0008614
30,116.542,0.98863,1.8505,0.0142,0.80802,0.59314,0.80244,0.52214,1.28396,1.16173,0.02321,0.00085645,0.00085645,0.00085645
31,120.543,0.95769,1.7601,0.01297,0.77555,0.62811,0.83237,0.54412,1.12007,1.29966,0.02023,0.0008515,0.0008515,0.0008515
32,124.983,0.95916,1.86504,0.01341,0.73099,0.66631,0.8257,0.55866,1.09761,1.26862,0.0193,0.00084655,0.00084655,0.00084655
33,128.943,0.89783,1.73396,0.01218,0.71448,0.67201,0.84858,0.60863,1.11047,1.09028,0.01999,0.0008416,0.0008416,0.0008416
34,132.38,0.89411,1.68573,0.01243,0.67257,0.84081,0.85102,0.61793,1.1031,0.99898,0.01987,0.00083665,0.00083665,0.00083665
35,136.292,0.90432,1.62308,0.01177,0.65643,0.87656,0.83429,0.60499,1.09715,1.04071,0.01938,0.0008317,0.0008317,0.0008317
36,140.189,0.90754,1.6368,0.01235,0.68457,0.8224,0.82631,0.60082,1.08379,1.03998,0.01895,0.00082675,0.00082675,0.00082675
37,143.855,0.87404,1.44937,0.01163,0.74139,0.78547,0.84535,0.61387,1.05784,0.94388,0.01951,0.0008218,0.0008218,0.0008218
38,147.612,0.86313,1.49968,0.01202,0.72199,0.78857,0.84917,0.60882,1.12552,0.92476,0.01989,0.00081685,0.00081685,0.00081685
39,151.512,0.90173,1.59206,0.01295,0.6368,0.79936,0.81572,0.59006,1.06265,0.97753,0.0181,0.0008119,0.0008119,0.0008119
40,155.262,0.90154,1.51201,0.01136,0.67144,0.79439,0.81506,0.60211,1.04401,0.94009,0.01767,0.00080695,0.00080695,0.00080695
41,159.167,0.91689,1.53648,0.01266,0.71609,0.8866,0.82714,0.59053,1.06839,1.0043,0.01902,0.000802,0.000802,0.000802
42,162.866,0.88961,1.48266,0.01241,0.76135,0.86579,0.8419,0.59691,1.13361,0.99865,0.02081,0.00079705,0.00079705,0.00079705
43,167.388,0.8862,1.4035,0.012,0.77335,0.76753,0.84994,0.63708,0.96978,0.8697,0.01717,0.0007921,0.0007921,0.0007921
44,173.099,0.87733,1.36004,0.01148,0.81005,0.72883,0.85961,0.64653,0.94355,0.84738,0.01715,0.00078715,0.00078715,0.00078715
45,177.277,0.89901,1.40584,0.01233,0.85756,0.72094,0.8808,0.64262,0.95815,0.92684,0.01656,0.0007822,0.0007822,0.0007822
46,180.734,0.94645,1.48986,0.01303,0.88148,0.6868,0.88468,0.63183,1.00723,0.95395,0.01776,0.00077725,0.00077725,0.00077725
47,184.595,0.88362,1.30092,0.01115,0.85638,0.69674,0.86993,0.62675,0.98111,0.9274,0.01816,0.0007723,0.0007723,0.0007723
48,187.961,0.85194,1.26612,0.01143,0.8544,0.69578,0.86219,0.63431,0.99725,0.87521,0.0181,0.00076735,0.00076735,0.00076735
49,191.494,0.86819,1.35653,0.01254,0.76061,0.82689,0.86984,0.62911,0.99292,0.8727,0.01776,0.0007624,0.0007624,0.0007624
50,195.335,0.90378,1.3551,0.01281,0.85434,0.71887,0.88119,0.63948,1.00392,0.87661,0.01786,0.00075745,0.00075745,0.00075745
51,199.305,0.86508,1.29878,0.01178,0.77533,0.81272,0.89081,0.6646,1.0033,0.71755,0.01769,0.0007525,0.0007525,0.0007525
52,202.906,0.8811,1.25345,0.01162,0.88075,0.74367,0.88584,0.65929,0.97824,0.73891,0.01696,0.00074755,0.00074755,0.00074755
53,206.543,0.85639,1.27202,0.01206,0.8187,0.79531,0.8779,0.62808,1.07598,0.8152,0.01946,0.0007426,0.0007426,0.0007426
54,210.186,0.90294,1.32714,0.01316,0.86586,0.76276,0.8734,0.63209,1.03901,0.77845,0.0183,0.00073765,0.00073765,0.00073765
55,213.522,0.84139,1.21476,0.01136,0.79172,0.8271,0.88321,0.64885,0.95415,0.72906,0.01625,0.0007327,0.0007327,0.0007327
56,217.313,0.82606,1.19059,0.01175,0.80015,0.85135,0.86999,0.64188,1.00423,0.75118,0.01711,0.00072775,0.00072775,0.00072775
57,220.644,0.87738,1.25928,0.01298,0.87416,0.78084,0.87793,0.6109,1.10696,0.80037,0.01955,0.0007228,0.0007228,0.0007228
58,223.998,0.84705,1.11062,0.01073,0.84229,0.79231,0.88099,0.60325,1.12665,0.78707,0.02043,0.00071785,0.00071785,0.00071785
59,227.769,0.85286,1.1975,0.01232,0.86479,0.7724,0.89224,0.64586,0.99913,0.69275,0.01762,0.0007129,0.0007129,0.0007129
60,231.64,0.85482,1.24065,0.01187,0.83184,0.81358,0.89411,0.64857,1.02917,0.68385,0.01786,0.00070795,0.00070795,0.00070795
61,235.122,0.8343,1.10321,0.01112,0.81321,0.80459,0.88919,0.62555,1.12684,0.70463,0.01965,0.000703,0.000703,0.000703
62,238.743,0.87893,1.14639,0.01199,0.8435,0.78193,0.89318,0.62692,1.09778,0.70611,0.01936,0.00069805,0.00069805,0.00069805
63,242.187,0.84433,1.14313,0.01178,0.82272,0.84656,0.90836,0.63931,1.05929,0.77804,0.01897,0.0006931,0.0006931,0.0006931
64,245.595,0.87833,1.12546,0.01159,0.82159,0.86278,0.90602,0.63988,1.02902,0.79496,0.01858,0.00068815,0.00068815,0.00068815
65,249.183,0.80526,1.09997,0.0113,0.86617,0.81431,0.90485,0.66014,0.9953,0.77657,0.0176,0.0006832,0.0006832,0.0006832
66,252.979,0.86053,1.11566,0.01221,0.76062,0.86812,0.89993,0.65523,1.01783,0.77303,0.01799,0.00067825,0.00067825,0.00067825
67,256.963,0.86947,1.16225,0.0127,0.80956,0.82864,0.90202,0.63276,1.11052,0.75997,0.02084,0.0006733,0.0006733,0.0006733
68,261.016,0.86148,1.0723,0.01121,0.76158,0.83559,0.89274,0.65218,1.04145,0.77749,0.0191,0.00066835,0.00066835,0.00066835
69,265.243,0.81521,1.01985,0.01163,0.74304,0.91925,0.87943,0.66503,0.94596,0.84597,0.01692,0.0006634,0.0006634,0.0006634
70,269.326,0.85426,1.16674,0.01287,0.75039,0.91161,0.88825,0.66711,0.94844,0.87336,0.01699,0.00065845,0.00065845,0.00065845
71,273.074,0.79518,1.033,0.01014,0.77497,0.90017,0.89471,0.68005,0.94351,0.76193,0.01731,0.0006535,0.0006535,0.0006535
72,276.74,0.78172,0.98698,0.0104,0.81015,0.87858,0.89964,0.68436,0.89537,0.69348,0.01603,0.00064855,0.00064855,0.00064855
73,280.408,0.78899,0.98706,0.00968,0.92397,0.80696,0.90068,0.66964,0.93677,0.67569,0.01601,0.0006436,0.0006436,0.0006436
74,284.152,0.78865,0.99355,0.01038,0.92856,0.77961,0.89886,0.66256,0.98851,0.66588,0.01692,0.00063865,0.00063865,0.00063865
75,288.057,0.81739,0.96374,0.01051,0.7175,0.91162,0.88319,0.6427,0.98429,0.72838,0.01644,0.0006337,0.0006337,0.0006337
76,291.621,0.79329,0.986,0.0102,0.71919,0.88399,0.8795,0.64842,0.99139,0.69402,0.01678,0.00062875,0.00062875,0.00062875
77,295.116,0.83855,1.01864,0.01139,0.84433,0.82345,0.89479,0.67016,0.96516,0.70253,0.01654,0.0006238,0.0006238,0.0006238
78,298.945,0.79343,0.97644,0.0106,0.78369,0.8756,0.90316,0.67935,0.95633,0.74671,0.01651,0.00061885,0.00061885,0.00061885
79,302.622,0.81894,0.95925,0.01051,0.89558,0.75612,0.90787,0.67971,0.94947,0.76945,0.01684,0.0006139,0.0006139,0.0006139
80,306.352,0.81655,0.96398,0.01104,0.84019,0.78438,0.90831,0.67927,0.95033,0.76728,0.01669,0.00060895,0.00060895,0.00060895
81,310.304,0.77601,0.95489,0.01062,0.81604,0.81593,0.90205,0.66425,0.99786,0.76663,0.0172,0.000604,0.000604,0.000604
82,314.681,0.7963,0.91414,0.01044,0.80407,0.83396,0.90772,0.65727,0.99934,0.75275,0.01733,0.00059905,0.00059905,0.00059905
83,320.782,0.78617,0.91703,0.01099,0.82513,0.78159,0.8884,0.64739,0.96446,0.68563,0.01656,0.0005941,0.0005941,0.0005941
84,325.118,0.80092,0.8998,0.01119,0.89757,0.81536,0.91233,0.67787,0.90467,0.62962,0.01533,0.00058915,0.00058915,0.00058915
85,329.147,0.79546,0.93242,0.01087,0.93199,0.73948,0.90289,0.66652,0.99014,0.68186,0.01727,0.0005842,0.0005842,0.0005842
86,333.082,0.77516,0.94624,0.0105,0.91505,0.76422,0.90991,0.67493,1.00167,0.64603,0.0175,0.00057925,0.00057925,0.00057925
87,337.233,0.78769,0.88247,0.00993,0.82553,0.88739,0.90901,0.67487,0.97839,0.70998,0.01685,0.0005743,0.0005743,0.0005743
88,341.586,0.76973,0.90537,0.01071,0.85544,0.88581,0.91594,0.67587,0.97897,0.69979,0.01721,0.00056935,0.00056935,0.00056935
89,346.105,0.75155,0.80537,0.00958,0.88049,0.83612,0.92578,0.68624,0.96086,0.65224,0.01693,0.0005644,0.0005644,0.0005644
90,350.314,0.75104,0.86447,0.01023,0.87804,0.88432,0.92768,0.67595,0.97607,0.63237,0.017,0.00055945,0.00055945,0.00055945
91,354.578,0.80135,0.92191,0.01056,0.93425,0.86075,0.92951,0.66792,1.03783,0.58452,0.01823,0.0005545,0.0005545,0.0005545
