id,name,lat,lng
1,27秀梅,24.9650788,121.1908682
2,7餐(松果餐廳),24.9656094,121.1954196
3,Apartments (1158365166),24.9718851,121.1902996
4,Atm,24.9685434,121.1955363
5,Building (1078713592),24.9680774,121.1977502
6,Building (1309326913),24.9650517,121.1969146
7,Building (1309326914),24.9653558,121.1968959
8,Building (1309326915),24.965209,121.1968249
9,Building (1309326916),24.9650114,121.1973726
10,Building (1309326917),24.9649896,121.1972085
11,Building (1309326935),24.9651384,121.1946804
12,Building (1309326936),24.9653023,121.1945745
13,Building (1309326937),24.9651657,121.1944477
14,Building (1309326938),24.964989,121.1945907
15,Building (1309326941),24.9649839,121.1955067
16,Building (1309326942),24.9651631,121.1953688
17,Building (1309326943),24.9649619,121.1950417
18,Building (1309326944),24.964952,121.1948046
19,Building (1309326952),24.9651443,121.1938777
20,Building (1309326953),24.9650478,121.1934582
21,Building (1309326954),24.9653982,121.193324
22,Building (1309326955),24.9652459,121.1931909
23,Building (1309326956),24.9650951,121.1931033
24,Building (1309346996),24.9649882,121.1913011
25,Building (1309346997),24.9649661,121.1920253
26,Building (1309346998),24.964962,121.1925794
27,Building (1309347002),24.9647419,121.1926276
28,Building (1309347005),24.9654814,121.1908456
29,Building (1309347006),24.9652203,121.1908483
30,Building (1309347007),24.9648249,121.1906979
31,Building (1309347008),24.9649629,121.1903975
32,Building (268851921),24.9671525,121.190288
33,Building (268851922),24.9671517,121.1901535
34,Building (268851923),24.9671491,121.1900242
35,Building (268852724),24.9671922,121.1898447
36,Building (268852725),24.9671996,121.1896368
37,Building (268852726),24.9671863,121.1894322
38,Building (268852727),24.9670197,121.1894097
39,Building (268852728),24.967021,121.1895436
40,Building (268852729),24.9670222,121.189748
41,Building (268852730),24.9670227,121.1898131
42,Building (268852731),24.9670237,121.1898825
43,Building (268852732),24.967022,121.1896604
44,Building (269122190),24.9667239,121.19032
45,Building (269122194),24.9667008,121.1902518
46,Building (269122195),24.9666899,121.1901826
47,Building (269122196),24.9666909,121.1900433
48,Building (269122197),24.9667119,121.189977
49,Building (269122198),24.9667375,121.1899036
50,Building (269122199),24.9667352,121.1897782
51,Building (269122200),24.9667029,121.1897067
52,Building (269122201),24.9666882,121.1896376
53,Building (269122202),24.9666733,121.1891519
54,Building (269122203),24.9667342,121.1893764
55,Building (269122204),24.9667131,121.189446
56,Building (269122205),24.9666872,121.1895138
57,Building (269122549),24.9664786,121.1903195
58,Building (269122550),24.9664984,121.1901884
59,Building (269122551),24.9664742,121.1899504
60,Building (269122609),24.9669501,121.1890401
61,Building (269122610),24.9669674,121.1891101
62,Building (269122611),24.9669811,121.1891816
63,Burger King,24.9669442,121.1906114
64,Department of Mathematics,24.9708487,121.1926944
65,Dormitory (268824431),24.9656805,121.1956258
66,Enf-健康輕食餐,24.9652852,121.1935389
67,House (678329041),24.9658281,121.1913729
68,House (678329042),24.9658217,121.1916707
69,House (678329044),24.9658205,121.1919534
70,House (678329045),24.9657756,121.1922409
71,House (678329046),24.9657663,121.1925041
72,Language Center,24.9702864,121.1928793
73,Laya Burger,24.9653923,121.19096
74,Louisa Coffee,24.9670159,121.1906809
75,Main蛋,24.9654133,121.1936828
76,National Central University Library,24.968128,121.194666
77,National Central University Post Office,24.9657289,121.1945746
78,"Office of Physical Education, NCU",24.967119,121.190958
79,University (268841452),24.9673482,121.1926764
80,University (268845987),24.9691001,121.1945582
81,University (268846333),24.9708858,121.1922458
82,iHouse享想空間,24.9661272,121.1933112
83,一億園,24.965017,121.1935452
84,一品鍋,24.965465,121.1936786
85,中壢正新明牛肉麵,24.9650117,121.1910015
86,中大國民運動中心,24.969721,121.189849
87,中大幼稚園,24.9660114,121.1919613
88,中大會館,24.9708064,121.1949658
89,中大雲鼎,24.9716396,121.1901036
90,中央大學郵局i郵箱,24.965654,121.194611
91,九餐,24.9707015,121.1958215
92,人文社會科學大樓,24.9693271,121.1951918
93,來來停車場,24.9653259,121.1909337
94,來來炒飯,24.9653707,121.1936545
95,依仁堂,24.9683424,121.1907771
96,前瞻科技研究中心,24.9665361,121.1875852
97,包子饅頭,24.9654201,121.1935363
98,喬慧素食,24.9653677,121.1936642
99,單一舍,24.9660948,121.1909385
100,單二舍,24.9665483,121.1907345
101,單四舍,24.9667551,121.190514
102,國際學生宿舍,24.9661569,121.1944424
103,國鼎光電大樓,24.9702699,121.1903721
104,國鼎圖書資料館,24.9700564,121.1944473
105,土木品保中心,24.9691949,121.188617
106,土木系館&化材系館,24.9674864,121.1926876
107,地球科學院,24.9673729,121.1945404
108,地球科學院,24.9671291,121.1945295
109,夏克奶茶,24.9650597,121.1935441
110,大型力學實驗室,24.9687745,121.188519
111,大氣環境實驗室,24.9674367,121.1854887
112,大禮堂,24.9682972,121.1923619
113,大講堂,24.9672014,121.1959266
114,太空及遙測研究中心,24.9678399,121.187321
115,女一舍,24.9664028,121.1923828
