id,name,lat,lng
1,27 Xiumei Shop,24.9650788,121.1908682
2,Cafeteria 7 (Pine Cone Restaurant),24.9656094,121.1954196
3,Apartments (1158365166),24.9718851,121.1902996
4,Atm,24.9685434,121.1955363
63,Burger King,24.9669442,121.1906114
64,Department of Mathematics,24.9708487,121.1926944
65,Dormitory (268824431),24.9656805,121.1956258
66,Enf-Healthy Food Shop,24.9652852,121.1935389
67,House (678329041),24.9658281,121.1913729
68,House (678329042),24.9658217,121.1916707
69,House (678329044),24.9658205,121.1919534
70,House (678329045),24.9657756,121.1922409
71,House (678329046),24.9657663,121.1925041
72,Language Center,24.9702864,121.1928793
73,Laya Burger,24.9653923,121.19096
74,Louisa Coffee,24.9670159,121.1906809
75,Main Dan,24.9654133,121.1936828
76,National Central University Library,24.968128,121.194666
77,National Central University Post Office,24.9657289,121.1945746
78,"Office of Physical Education, NCU",24.967119,121.190958
79,University (268841452),24.9673482,121.1926764
80,University (268845987),24.9691001,121.1945582
81,University (268846333),24.9708858,121.1922458
82,iHouse Learning Space,24.9661272,121.1933112
83,Yi Yi Yuan Restaurant,24.965017,121.1935452
84,Yipin Hot Pot,24.965465,121.1936786
85,Zhongli Zheng Xinming Beef Noodles,24.9650117,121.1910015
86,NCU Civil Sports Center,24.969721,121.189849
87,NCU Kindergarten,24.9660114,121.1919613
88,NCU Guest House,24.9708064,121.1949658
89,NCU Yun Ding Residential,24.9716396,121.1901036
90,NCU Post Office iBox,24.965654,121.194611
91,Ninth Cafeteria (Dorm 9),24.9707015,121.1958215
92,Humanities and Social Sciences Building,24.9693271,121.1951918
93,Lai Lai Parking Lot,24.9653259,121.1909337
94,Lai Lai Fried Rice,24.9653707,121.1936545
95,Yi-Ren Gym (Main Sports Hall),24.9683424,121.1907771
96,Center for Frontier Science and Technology,24.9665361,121.1875852
97,Steamed Bun Shop,24.9654201,121.1935363
98,Qiao Hui Vegetarian Food,24.9653677,121.1936642
99,Single Dormitory 1,24.9660948,121.1909385
100,Single Dormitory 2,24.9665483,121.1907345
101,Single Dormitory 4,24.9667551,121.190514
102,International Student Dormitory,24.9661569,121.1944424
103,Kwoh-Ting Optics and Photonics Building,24.9702699,121.1903721
104,Kwoh-Ting Library and Archives,24.9700564,121.1944473
105,Civil Engineering Quality Assurance Center,24.9691949,121.188617
106,Dept. of Civil Engineering & Chemical Materials,24.9674864,121.1926876
107,College of Earth Sciences (A),24.9673729,121.1945404
108,College of Earth Sciences (B),24.9671291,121.1945295
109,Shake Milk Tea,24.9650597,121.1935441
110,Large-scale Mechanics Laboratory,24.9687745,121.188519
111,Atmospheric Environment Laboratory,24.9674367,121.1854887
112,Main Auditorium,24.9682972,121.1923619
113,Grand Lecture Hall,24.9672014,121.1959266
114,Center for Space and Remote Sensing Research,24.9678399,121.187321
115,Girls' Dormitory 1,24.9664028,121.1923828
116,Girls' Dormitory 3,24.9662748,121.1923654
117,Girls' Dormitory 2,24.9664044,121.1917557
118,Girls' Dormitory 14,24.9655148,121.1943499
119,Girls' Dormitory 4,24.9661924,121.1917509
120,College of Hakka Studies,24.9709302,121.1904257
121,Late Night Supper Buffet,24.9653819,121.1936648
122,Workshop 1,24.9680011,121.1892323
123,Shinemood Waffle,24.9699622,121.1934112
124,Caveman Restaurant,24.9650501,121.1936381
125,Engineering Building 1,24.9674217,121.1926782
126,Engineering Building 3 (Mechanical),24.9679444,121.1885372
127,Engineering Building 5,24.9669988,121.1873001
128,Zhi-Xi Building,24.9702273,121.193658
129,Zhi-Dao Building,24.9656431,121.1938321
130,Double Shop,24.9671565,121.1907715
131,Ju-De Building,24.9667609,121.1958916
132,Teaching and Research General Building,24.9683295,121.1917082
133,Teaching and Research Underground Parking,24.9681798,121.1916421
134,Liberal Arts Building 1,24.9693624,121.1945571
135,Liberal Arts Building 2,24.9688741,121.1945477
136,Hope House Dormitory,24.9709576,121.1943047
137,Dong Dong Handmade Dumplings,24.9651315,121.1935441
138,Pinecone Building (Incubation Center),24.9667635,121.1908141
139,Pine Garden Restaurant,24.9670778,121.1906948
140,Pine Courtyard Restaurant,24.9670698,121.190635
