epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9986,1.14031,5.51951,0.01939,0.02685,0.48869,0.07937,0.04254,0.93691,4.72503,0.01652,6e-05,6e-05,6e-05
2,33.4207,0.97886,5.42361,0.01762,0.02188,0.56033,0.13932,0.07783,0.89368,4.71293,0.01578,0.00011713,0.00011713,0.00011713
3,35.3232,0.81933,5.28217,0.01477,0.0146,0.58296,0.14737,0.10118,0.87306,4.70726,0.01477,0.0001604,0.0001604,0.0001604
4,37.2107,0.81327,5.17456,0.013,0.01139,0.58296,0.2045,0.14126,0.86962,4.6697,0.01564,0.00018981,0.00018981,0.00018981
5,39.4097,0.79501,5.01938,0.01429,0.00966,0.58296,0.20647,0.15798,0.83793,4.59062,0.01519,0.00020536,0.00020536,0.00020536
6,41.8767,0.81517,4.97242,0.01652,0.00808,0.57014,0.20116,0.15912,0.85354,4.45305,0.01501,0.00020705,0.00020705,0.00020705
7,44.0226,0.77706,4.80938,0.01271,0.00776,0.57014,0.21154,0.16587,0.83263,4.38946,0.01496,0.00019488,0.00019488,0.00019488
8,45.9752,0.80975,4.80142,0.01455,0.00723,0.57014,0.21315,0.16944,0.8413,4.22703,0.01513,0.00016885,0.00016885,0.00016885
9,47.845,0.77953,4.73295,0.01463,0.00739,0.58296,0.20107,0.16018,0.82289,4.14692,0.0146,0.00012896,0.00012896,0.00012896
10,49.7462,0.79901,4.63216,0.01411,0.00798,0.62142,0.22453,0.17398,0.82712,4.09007,0.01479,7.521e-05,7.521e-05,7.521e-05
